
2023/09/10 (07:09:32) | ===> btop++ v.1.2.13
2023/09/10 (07:09:32) | INFO: Logger set to DEBUG
2023/09/10 (07:09:32) | INFO: Logger set to INFO

2023/09/10 (10:51:32) | ===> btop++ v.1.2.13
2023/09/10 (10:51:32) | ERROR: Stall in Runner thread, restarting!
2023/09/10 (10:51:37) | ERROR: Stall in Runner thread, restarting!
2023/09/10 (10:51:43) | ERROR: Stall in Runner thread, restarting!
2023/09/10 (10:51:48) | ERROR: Stall in Runner thread, restarting!
2023/09/10 (10:51:53) | ERROR: Stall in Runner thread, restarting!
2023/09/10 (10:51:59) | ERROR: Stall in Runner thread, restarting!
2023/09/10 (10:52:04) | ERROR: Stall in Runner thread, restarting!
2023/09/10 (10:52:09) | ERROR: Stall in Runner thread, restarting!
2023/09/10 (10:52:15) | ERROR: Stall in Runner thread, restarting!
2023/09/10 (12:51:30) | ERROR: Stall in Runner thread, restarting!
2023/09/10 (12:51:35) | ERROR: Stall in Runner thread, restarting!
2023/09/10 (12:51:40) | ERROR: Stall in Runner thread, restarting!
2023/09/10 (12:51:46) | ERROR: Stall in Runner thread, restarting!
2023/09/10 (12:51:51) | ERROR: Stall in Runner thread, restarting!
2023/09/10 (12:51:56) | ERROR: Stall in Runner thread, restarting!
2023/09/10 (12:52:02) | ERROR: Stall in Runner thread, restarting!
2023/09/10 (12:52:07) | ERROR: Stall in Runner thread, restarting!
2023/09/10 (12:52:12) | ERROR: Stall in Runner thread, restarting!

2023/09/10 (13:51:32) | ===> btop++ v.1.2.13
2023/09/10 (13:51:32) | ERROR: Stall in Runner thread, restarting!
2023/09/10 (13:51:38) | ERROR: Stall in Runner thread, restarting!
2023/09/10 (13:51:43) | ERROR: Stall in Runner thread, restarting!
2023/09/10 (13:51:49) | ERROR: Stall in Runner thread, restarting!
2023/09/10 (13:51:54) | ERROR: Stall in Runner thread, restarting!
2023/09/10 (13:52:00) | ERROR: Stall in Runner thread, restarting!
2023/09/10 (13:52:06) | ERROR: Stall in Runner thread, restarting!
2023/09/10 (13:52:11) | ERROR: Stall in Runner thread, restarting!
2023/09/10 (13:52:17) | ERROR: Stall in Runner thread, restarting!

2024/04/18 (20:47:44) | ===> btop++ v.1.3.2
2024/04/18 (20:47:44) | WARNING: Failed to set locale en_US.utf8 continuing anyway.

2024/04/18 (21:49:31) | ===> btop++ v.1.3.2
2024/04/18 (21:49:31) | WARNING: Failed to set locale en_US.utf8 continuing anyway.
